Date,States Tracked,New Tests,Positive,Negative,Pos + Neg,Pending,Deaths,Total Tests
05/18/20,56,338020,1499722,10334786,11834508,3596,84640,11834508
05/17/20,56,403959,1480158,10016330,11496488,3449,83854,11496488
05/16/20,56,352938,1459421,9633108,11092529,3788,83015,11092529
05/15/20,56,361545,1434478,9305113,10739591,2457,81729,10739591
05/14/20,56,381659,1410105,8967941,10378046,2673,80251,10378046
05/13/20,56,326348,1383174,8613213,9996387,1983,78343,9996387
05/12/20,56,304753,1362695,8307344,9670039,1803,76650,9670039
05/11/20,56,388293,1341218,8024068,9365286,1989,75107,9365286
05/10/20,56,267784,1323549,7653444,8976993,3095,74270,8976993
05/09/20,56,293595,1302072,7407137,8709209,3054,73291,8709209
05/08/20,56,299294,1276931,7138683,8415614,3307,71762,8415614
05/07/20,56,304469,1249235,6867085,8116320,3171,70002,8116320
05/06/20,56,246271,1221723,6590128,7811851,2742,67256,7811851
05/05/20,56,260828,1196630,6368950,7565580,2633,65307,7565580
05/04/20,56,233874,1174508,6130244,7304752,2791,62780,7304752
05/03/20,56,240904,1152872,5918006,7070878,2812,61868,7070878
05/02/20,56,250453,1126873,5703101,6829974,1578,60710,6829974
05/01/20,56,297038,1097036,5482485,6579521,1639,59059,6579521
04/30/20,56,230469,1063809,5218674,6282483,2775,57320,6282483
04/29/20,56,233624,1034453,5017561,6052014,4832,55182,6052014
04/28/20,56,205323,1007275,4811115,5818390,4206,52482,5818390
04/27/20,56,196273,982158,4630909,5613067,4077,50354,5613067
04/26/20,56,208113,961017,4455777,5416794,4445,49164,5416794
04/25/20,56,279665,933877,4274804,5208681,5315,48069,5208681
04/24/20,56,235749,897945,4031071,4929016,4396,46251,4929016
04/23/20,56,194118,863707,3829560,4693267,4258,44409,4693267
04/22/20,56,315739,831908,3667241,4499149,4191,42595,4499149
04/21/20,56,148378,803265,3380145,4183410,3956,40554,4183410
04/20/20,56,147992,777264,3257768,4035032,4037,37999,4035032
04/19/20,56,160254,751958,3135082,3887040,11324,36300,3887040
04/18/20,56,142311,724529,3002257,3726786,9906,34641,3726786
04/17/20,56,158202,696537,2887938,3584475,10889,32854,3584475
04/16/20,56,162233,664645,2761628,3426273,16927,30789,3426273
04/15/20,56,136793,633567,2630473,3264040,16901,28628,3264040
04/14/20,56,150735,603238,2524009,3127247,16615,26066,3127247
04/13/20,56,133189,577229,2399283,2976512,17159,23754,2976512
04/12/20,56,140454,552094,2291229,2843323,16419,22237,2843323
04/11/20,56,139691,524233,2178636,2702869,16593,20686,2702869
04/10/20,56,157723,493255,2069923,2563178,17435,18751,2563178
04/09/20,56,166052,458815,1946640,2405455,17622,16659,2405455
04/08/20,56,144471,424516,1814887,2239403,17219,14737,2239403
04/07/20,56,152886,394359,1700573,2094932,16548,12841,2094932
04/06/20,56,150886,363877,1578169,1942046,17283,10937,1942046
04/05/20,56,119456,335079,1456081,1791160,17303,9714,1791160
04/04/20,56,228666,309333,1362371,1671704,15569,8487,1671704
04/03/20,56,132176,275975,1167063,1443038,61976,7112,1443038
04/02/20,56,118165,244098,1066764,1310862,62097,5924,1310862
04/01/20,56,107576,215990,976707,1192697,59665,4823,1192697
03/31/20,56,111134,190856,894265,1085121,59518,3877,1085121
03/30/20,56,117569,166372,807615,973987,65369,3060,973987
03/29/20,56,88636,145055,711363,856418,65545,2527,856418
03/28/20,56,104221,125719,642063,767782,65709,2038,767782
03/27/20,56,103038,106515,557046,663561,60091,1604,663561
03/26/20,56,100404,87876,472647,560523,60251,1231,560523
