Positive,Total,County,Borough,City,State,Zipcode,Date,zcta_cum_perc_pos
1520,1809,,,New York,New York,nan,04/30/20,84.02
303,805,New York,Manhattan,New York,New York,10001,04/30/20,37.64
837,1849,New York,Manhattan,New York,New York,10002,04/30/20,45.27
387,1114,New York,Manhattan,New York,New York,10003,04/30/20,34.74
26,79,New York,Manhattan,New York,New York,10004,04/30/20,32.91
52,190,New York,Manhattan,New York,New York,10005,04/30/20,27.37
21,81,New York,Manhattan,New York,New York,10006,04/30/20,25.93
45,182,New York,Manhattan,New York,New York,10007,04/30/20,24.73
597,1614,New York,Manhattan,New York,New York,10009,04/30/20,36.99
226,805,New York,Manhattan,New York,New York,10010,04/30/20,28.07
452,1171,New York,Manhattan,New York,New York,10011,04/30/20,38.6
139,446,New York,Manhattan,New York,New York,10012,04/30/20,31.17
210,615,New York,Manhattan,New York,New York,10013,04/30/20,34.15
256,691,New York,Manhattan,New York,New York,10014,04/30/20,37.05
582,1723,New York,Manhattan,New York,New York,10016,04/30/20,33.78
124,431,New York,Manhattan,New York,New York,10017,04/30/20,28.77
186,513,New York,Manhattan,New York,New York,10018,04/30/20,36.26
506,1390,New York,Manhattan,New York,New York,10019,04/30/20,36.4
487,1509,New York,Manhattan,New York,New York,10021,04/30/20,32.27
285,928,New York,Manhattan,New York,New York,10022,04/30/20,30.71
486,1506,New York,Manhattan,New York,New York,10023,04/30/20,32.27
549,1651,New York,Manhattan,New York,New York,10024,04/30/20,33.25
1045,2774,New York,Manhattan,New York,New York,10025,04/30/20,37.67
532,1285,New York,Manhattan,New York,New York,10026,04/30/20,41.4
798,1803,New York,Manhattan,New York,New York,10027,04/30/20,44.26
422,1321,New York,Manhattan,New York,New York,10028,04/30/20,31.95
1473,3166,New York,Manhattan,New York,New York,10029,04/30/20,46.53
413,892,New York,Manhattan,New York,New York,10030,04/30/20,46.3
1007,1930,New York,Manhattan,New York,New York,10031,04/30/20,52.18
1168,2311,New York,Manhattan,New York,New York,10032,04/30/20,50.54
1042,1992,New York,Manhattan,New York,New York,10033,04/30/20,52.31
563,1214,New York,Manhattan,New York,New York,10034,04/30/20,46.38
767,1577,New York,Manhattan,New York,New York,10035,04/30/20,48.64
350,947,New York,Manhattan,New York,New York,10036,04/30/20,36.96
348,792,New York,Manhattan,New York,New York,10037,04/30/20,43.94
207,493,New York,Manhattan,New York,New York,10038,04/30/20,41.99
417,949,New York,Manhattan,New York,New York,10039,04/30/20,43.94
793,1532,New York,Manhattan,New York,New York,10040,04/30/20,51.76
165,376,New York,Manhattan,New York,New York,10044,04/30/20,43.88
280,958,New York,Manhattan,New York,New York,10065,04/30/20,29.23
46,152,New York,Manhattan,New York,New York,10069,04/30/20,30.26
337,930,New York,Manhattan,New York,New York,10075,04/30/20,36.24
547,1795,New York,Manhattan,New York,New York,10128,04/30/20,30.47
35,149,New York,Manhattan,New York,New York,10280,04/30/20,23.49
64,157,New York,Manhattan,New York,New York,10282,04/30/20,40.76
984,2254,Richmond,Staten Island,New York,New York,10301,04/30/20,43.66
543,1182,Richmond,Staten Island,New York,New York,10302,04/30/20,45.94
737,1671,Richmond,Staten Island,New York,New York,10303,04/30/20,44.11
1186,2669,Richmond,Staten Island,New York,New York,10304,04/30/20,44.44
