date,text
06/26/20,"The WHO has tapped GAVI, the Vaccine Alliance and the Coalition for Epidemic Preparedness Innovations (CEPI) in an $18 billion bid to dispense COVID-19 vaccines equitably around the globe. The move comes as several developed nations have invested heavily in vaccine makers for preferred access to those shots. For its part, the trio aims to pool funds into multiple vaccine projects rather than backing a single company. Currently, the group has only raised $3.4 billion toward its goal. "
06/26/20,"The Trump Administration may begin screening multiple people for COVID-19 at the same time in what's known as pool testing, NIAID director Anthony Fauci told the Washington Post on Friday. A group of patients would be given a single coronavirus test, with individual tests to follow in the event of a positive result. This would allow officials to test more people with fewer resources; but pool testing only works if the majority of the population is uninfected, Fauci said."
06/26/20,"Meanwhile, the CDC estimates that 20 million Americans have contracted the virus, based on the number of known cases multiplied by the average rate of antibodies found during serology tests. That's 10 times more than the official case count, which points to a far greater number of asymptomatic patients with the disease, officials said. Some good news? Those boosted stats would also mean the percentage of U.S. COVID deaths is lower than thought. "
06/26/20,"Plus, a ""biohacker"" who once made DIY CRISPR kits thinks he can develop a working COVID-19 vaccine ahead of Big Pharma. Having slapped together his own DNA-based shot with publicly available spike proteins, Josiah Zayner aims to inject himself—and two partners—in order to reproduce trial results from May showing that a DNA vaccine triggered an immune response in monkeys. At least one bioethicist has taken issue with Zayner's sample size. Story"
06/26/20,"Japan is the latest country to go after doses of AstraZeneca and the University of Oxford's COVID-19 vaccine, AZD1222. On Friday, Japanese drugmaker Daiichi Sankyo said it's in talks to carry out formulation, packaging and storage of AZ's shot in Japan. Daiichi said it's also in talks with the Japanese government to ensure the country has the AZD1222 doses it needs. Story"
06/26/20,"Plus, the call for more dexamethasone studies rolled on as U.S. doctors noted that the well-known steroid actually increased the odds of death in mildly ill COVID patients, according to early data from the recently unveiled Recovery Trial. The steroid dampens the body's immune system–good for late-stage patients fighting cytokine storm, but potentially lethal for those in the early throes of the disease. Those patients rely on their immune systems to thwart the infection, doctors say. "
06/26/20,"Meanwhile, as competition between remdesivir and dexamethasone promises to heat up, an infectious disease analyst at GlobalData thinks the drugs might serve patients better as a team. Gilead Sciences' antiviral targets coronavirus symptoms directly, while the well-known steroid dexamethasone slows hyper-inflammatory damage. Remdesivir is already in combo testing with another anti-inflammatory, tociluzimab. "
06/26/20,The FDA has fast tracked NeuroRX and Relief Therapeutics' synthetic peptide Aviptadil to treat COVID-19 patients with severe respiratory symptoms. The drug reduces lung inflammation and protects cells in organs thought to be an entry point for the virus. Aviptadil is currently in phase 2/3  U.S. trials to lower death rates and boost blood oxygen levels in COVID patients. 
06/26/20,"And German drugmaker Merck KGaA said it scored FDA clearance to launch phase 2 studies on its investigational drug, M5049, to treat cytokine storm in COVID-19 patients who develop pneumonia. Results are expected around the end of this year, Merck said. "
06/26/20,"On Thursday, the U.S. broke its record total of new coronavirus infections for the second day in a row, with many states spared early on in the pandemic now facing major outbreaks. In a sign of apparent urgency, the White House will hold a coronavirus task force briefing on Friday afternoon—the first one in nearly two months. "
